SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
ACB:3110:0001,Principles of Human Anatomy,Kathleen Andersen - Primary Instructor,,-,23.0,-,-,57.0,-,-,48.0,-,-,24.0,-,-,20.0,Fall,2023,1
ACB:5108:0001,Human Anatomy,Kathleen Andersen - Primary Instructor,,-,28.0,-,-,21.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACB:5210:0001,General Histology Online,Nathan Swailes - Primary Instructor,,-,4.0,-,-,5.0,-,-,2.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACB:5224:0001,Grad Seminar in Cell & Develop Biology,Charles Yeaman - Primary Instructor,,-,16.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACB:6237:0001,Critical Thinking Biochem & Mol Biology,C Andrew Frank - Primary Instructor,,-,11.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACB:6238:0001,Critical Thinking in Genetics,Adam Dupuy - Primary Instructor,,-,11.0,-,-,4.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACB:7001:0001,Teaching Learning in Anatomical Sciences,Marc Pizzimenti - Primary Instructor,,-,7.0,-,-,4.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A01,Introduction to Financial Accounting,Brad Hepfer - Primary Instructor,,-,24.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A02,Introduction to Financial Accounting,Christian Kindt - Primary Instructor,David Stubing - Course Supervisor,-,19.0,-,-,15.0,-,-,4.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A03,Introduction to Financial Accounting,Justyn Maroon - Primary Instructor,Brad Hepfer - Course Supervisor,-,15.0,-,-,14.0,-,-,2.0,-,-,1.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A04,Introduction to Financial Accounting,Jared Miller - Primary Instructor,David Stubing - Course Supervisor,-,13.0,-,-,11.0,-,-,4.0,-,-,2.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A05,Introduction to Financial Accounting,Destiny Berns - Primary Instructor,Brad Hepfer - Course Supervisor,-,13.0,-,-,13.0,-,-,4.0,-,-,2.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A06,Introduction to Financial Accounting,Luke Warner - Primary Instructor,Brad Hepfer - Course Supervisor,-,12.0,-,-,13.0,-,-,6.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A07,Introduction to Financial Accounting,Justyn Maroon - Primary Instructor,David Stubing - Course Supervisor,-,11.0,-,-,14.0,-,-,6.0,-,-,0.0,-,-,1.0,Fall,2023,1
ACCT:2100:0A08,Introduction to Financial Accounting,Luke Warner - Primary Instructor,Brad Hepfer - Course Supervisor,-,15.0,-,-,10.0,-,-,3.0,-,-,0.0,-,-,1.0,Fall,2023,1
ACCT:2100:0A09,Introduction to Financial Accounting,Destiny Berns - Primary Instructor,Brad Hepfer - Course Supervisor,-,15.0,-,-,15.0,-,-,2.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A10,Introduction to Financial Accounting,Christian Kindt - Primary Instructor,Brad Hepfer - Course Supervisor,-,17.0,-,-,17.0,-,-,6.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A11,Introduction to Financial Accounting,Justyn Maroon - Primary Instructor,David Stubing - Course Supervisor,-,6.0,-,-,18.0,-,-,7.0,-,-,1.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A12,Introduction to Financial Accounting,Abi Schultz - Primary Instructor,Brad Hepfer - Course Supervisor,-,12.0,-,-,14.0,-,-,6.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A13,Introduction to Financial Accounting,Abi Schultz - Primary Instructor,Brad Hepfer - Course Supervisor,-,14.0,-,-,14.0,-,-,4.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A14,Introduction to Financial Accounting,Christian Kindt - Primary Instructor,David Stubing - Course Supervisor,-,13.0,-,-,17.0,-,-,2.0,-,-,0.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A15,Introduction to Financial Accounting,Luke Warner - Primary Instructor,David Stubing - Course Supervisor,-,14.0,-,-,13.0,-,-,3.0,-,-,2.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A16,Introduction to Financial Accounting,Abi Schultz - Primary Instructor,David Stubing - Course Supervisor,-,9.0,-,-,16.0,-,-,4.0,-,-,3.0,-,-,0.0,Fall,2023,1
ACCT:2100:0A17,Introduction to Financial Accounting,Destiny Berns - Primary Instructor,David Stubing - Course Supervisor,-,14.0,-,-,13.0,-,-,1.0,-,-,1.0,-,-,0.0,Fall,2023,1
ACCT:2100:A018,Introduction to Financial Accounting,Jared Miller - Primary Instructor,David Stubing - Course Supervisor,-,9.0,-,-,17.0,-,-,2.0,-,-,0.0,-,-,0.0,Fall,2023,1
