SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
ACB:5224:0001,Grad Seminar in Cell & Develop Biology,Charles Yeaman - Primary Instructor,,-,15.0,-,-,2.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACB:6252:0001,Functional Neuroanatomy,Justin Sipla - Primary Instructor,,-,8.0,-,-,10.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACB:8120:0800,Human Gross Anatomy for Dental Students,Emma Handler - Primary Instructor,,-,26.0,-,-,30.0,-,-,21.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACB:8121:0800,General Histology for Dental Students,Nathan Swailes - Primary Instructor,,-,32.0,-,-,25.0,-,-,22.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A01,Introduction to Financial Accounting,Greta Mote - Primary Instructor,David Stubing - Course Supervisor,-,16.0,-,-,11.0,-,-,5.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A02,Introduction to Financial Accounting,Greta Mote - Primary Instructor,David Stubing - Course Supervisor,-,15.0,-,-,11.0,-,-,5.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A03,Introduction to Financial Accounting,Destiny Berns - Primary Instructor,David Stubing - Course Supervisor,-,7.0,-,-,17.0,-,-,8.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A04,Introduction to Financial Accounting,Sonchoy Saha - Primary Instructor,David Stubing - Course Supervisor,-,10.0,-,-,15.0,-,-,5.0,-,-,2.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A05,Introduction to Financial Accounting,Sonchoy Saha - Primary Instructor,David Stubing - Course Supervisor,-,12.0,-,-,11.0,-,-,6.0,-,-,2.0,-,-,1.0,Spring,2024,1
ACCT:2100:0A06,Introduction to Financial Accounting,Justyn Maroon - Primary Instructor,David Stubing - Course Supervisor,-,12.0,-,-,17.0,-,-,3.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A07,Introduction to Financial Accounting,Justyn Maroon - Primary Instructor,David Stubing - Course Supervisor,-,10.0,-,-,16.0,-,-,5.0,-,-,1.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A08,Introduction to Financial Accounting,Destiny Berns - Primary Instructor,David Stubing - Course Supervisor,-,12.0,-,-,14.0,-,-,3.0,-,-,1.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A09,Introduction to Financial Accounting,Luke Warner - Primary Instructor,David Stubing - Course Supervisor,-,13.0,-,-,14.0,-,-,4.0,-,-,1.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A10,Introduction to Financial Accounting,Greta Mote - Primary Instructor,David Stubing - Course Supervisor,-,13.0,-,-,12.0,-,-,2.0,-,-,2.0,-,-,2.0,Spring,2024,1
ACCT:2100:0A11,Introduction to Financial Accounting,Justyn Maroon - Primary Instructor,David Stubing - Course Supervisor,-,10.0,-,-,18.0,-,-,3.0,-,-,1.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A12,Introduction to Financial Accounting,Luke Warner - Primary Instructor,David Stubing - Course Supervisor,-,15.0,-,-,10.0,-,-,6.0,-,-,1.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A13,Introduction to Financial Accounting,Abi Schultz - Primary Instructor,David Stubing - Course Supervisor,-,21.0,-,-,7.0,-,-,3.0,-,-,1.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A14,Introduction to Financial Accounting,Abi Schultz - Primary Instructor,David Stubing - Course Supervisor,-,14.0,-,-,12.0,-,-,5.0,-,-,1.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A15,Introduction to Financial Accounting,Luke Warner - Primary Instructor,David Stubing - Course Supervisor,-,11.0,-,-,17.0,-,-,3.0,-,-,0.0,-,-,1.0,Spring,2024,1
ACCT:2100:0A16,Introduction to Financial Accounting,Sonchoy Saha - Primary Instructor,David Stubing - Course Supervisor,-,12.0,-,-,15.0,-,-,3.0,-,-,0.0,-,-,1.0,Spring,2024,1
ACCT:2100:0A17,Introduction to Financial Accounting,Destiny Berns - Primary Instructor,David Stubing - Course Supervisor,-,15.0,-,-,14.0,-,-,2.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACCT:2100:0A18,Introduction to Financial Accounting,Abi Schultz - Primary Instructor,David Stubing - Course Supervisor,-,8.0,-,-,15.0,-,-,4.0,-,-,1.0,-,-,1.0,Spring,2024,1
ACCT:2200:0001,Managerial Acct Analytics & Data Visual,Elise Izumi - Primary Instructor,Greg Hall - Course Supervisor,-,9.0,-,-,8.0,-,-,7.0,-,-,3.0,-,-,2.0,Spring,2024,1
ACCT:2200:0002,Managerial Acct Analytics & Data Visual,Kaitlyn Ryan - Primary Instructor,Greg Hall - Course Supervisor,-,15.0,-,-,6.0,-,-,8.0,-,-,0.0,-,-,0.0,Spring,2024,1
ACCT:2200:0003,Managerial Acct Analytics & Data Visual,Greg Hall - Primary Instructor,,-,6.0,-,-,14.0,-,-,4.0,-,-,0.0,-,-,3.0,Spring,2024,1
ACCT:2200:0004,Managerial Acct Analytics & Data Visual,Meredith Clingman - Primary Instructor,Greg Hall - Course Supervisor,-,8.0,-,-,6.0,-,-,12.0,-,-,0.0,-,-,4.0,Spring,2024,1
ACCT:2200:0005,Managerial Acct Analytics & Data Visual,Greg Hall - Primary Instructor,,-,11.0,-,-,12.0,-,-,3.0,-,-,4.0,-,-,0.0,Spring,2024,1
ACCT:2200:0006,Managerial Acct Analytics & Data Visual,Adrian Coulter - Primary Instructor,Greg Hall - Course Supervisor,-,7.0,-,-,14.0,-,-,6.0,-,-,0.0,-,-,2.0,Spring,2024,1
ACCT:2200:0007,Managerial Acct Analytics & Data Visual,Morgan Gallentine - Primary Instructor,Greg Hall - Course Supervisor,-,5.0,-,-,11.0,-,-,10.0,-,-,3.0,-,-,0.0,Spring,2024,1
ACCT:2200:0008,Managerial Acct Analytics & Data Visual,Meredith Clingman - Primary Instructor,Greg Hall - Course Supervisor,-,16.0,-,-,10.0,-,-,3.0,-,-,0.0,-,-,1.0,Spring,2024,1
ACCT:2200:0009,Managerial Acct Analytics & Data Visual,Adam Hegland - Primary Instructor,Greg Hall - Course Supervisor,-,7.0,-,-,12.0,-,-,7.0,-,-,4.0,-,-,0.0,Spring,2024,1
