SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
ACCT:2100:0001,Introduction to Financial Accounting,Christian Hutzler - Primary Instructor,,-,4.0,-,-,6.0,-,-,1.0,-,-,0.0,-,-,0.0,Summer,2023,1
ACCT:3020:0EXW,Financial Accounting and Reporting,Heidi Hansel - Primary Instructor,,-,14.0,-,-,13.0,-,-,4.0,-,-,0.0,-,-,1.0,Summer,2023,1
ACCT:3600:0EXW,Accounting Systems & Analytics,Adam Meeker - Primary Instructor,,-,8.0,-,-,8.0,-,-,5.0,-,-,0.0,-,-,0.0,Summer,2023,1
ACCT:4100:0EXW,Auditing,Kevin Den Adel - Primary Instructor,,-,5.0,-,-,9.0,-,-,2.0,-,-,1.0,-,-,0.0,Summer,2023,1
ACCT:4300:0EXW,Accounting Ethics and Law,Mary Murphy - Primary Instructor,,-,6.0,-,-,7.0,-,-,0.0,-,-,0.0,-,-,1.0,Summer,2023,1
AFAM:2500:0EXW,Black Culture and Experience,Armando Bryson - Primary Instructor,Venise Berry - Course Supervisor,-,17.0,-,-,6.0,-,-,3.0,-,-,4.0,-,-,0.0,Summer,2023,1
AMST:2025:0EXW,Diversity in American Culture,John Tappen - Primary Instructor,Thomas Oates - Course Supervisor,-,6.0,-,-,7.0,-,-,2.0,-,-,4.0,-,-,2.0,Summer,2023,1
ANTH:1301:0EXW,Human Origins,Logan Moore - Primary Instructor,Katina Lillios - Course Supervisor,-,10.0,-,-,10.0,-,-,3.0,-,-,0.0,-,-,1.0,Summer,2023,1
ANTH:2100:0EXW,Anthropology & Contemporary World Problm,Caleb Klipowicz - Primary Instructor,Katina Lillios - Course Supervisor,-,13.0,-,-,8.0,-,-,2.0,-,-,1.0,-,-,0.0,Summer,2023,1
ASTR:1070:000B,"Stars, Galaxies, and the Universe",Matthew Millard - Primary Instructor,,-,5.0,-,-,4.0,-,-,4.0,-,-,1.0,-,-,0.0,Summer,2023,1
AT:3060:0001,Advanced Anatomy for Athletic Training,Martine Dunnwald - Primary Instructor,,-,3.0,-,-,5.0,-,-,3.0,-,-,0.0,-,-,0.0,Summer,2023,1
AT:4000:0001,Foundations Athletic Training Practice,Megan Lundstrom - Primary Instructor,,-,4.0,-,-,7.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
AT:4075:0001,Medical Emergency Techniques,Jennifer Rogers - Primary Instructor,,-,4.0,-,-,7.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
AT:5000:0001,Pathology/Assessment Non-Orthopedic,Megan Lundstrom - Primary Instructor,,-,5.0,-,-,6.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
AT:5075:0001,Diagnostic Imaging and Lab Studies,Megan Lundstrom - Primary Instructor,,-,5.0,-,-,5.0,-,-,1.0,-,-,0.0,-,-,0.0,Summer,2023,1
AT:5200:0001,Pharmacology in Sports Medicine,Kara Gange - Primary Instructor,,-,10.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:1500:0EXW,Business Computing Essentials,Yvonne Galusha - Primary Instructor,,-,23.0,-,-,8.0,-,-,2.0,-,-,6.0,-,-,1.0,Summer,2023,1
BAIS:2800:0EXT,Foundations of Business Analytics,Junho Yoon - Primary Instructor,,-,17.0,-,-,22.0,-,-,4.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:3000:0EXW,Operations Management,Chengyue Huang - Primary Instructor,,-,21.0,-,-,18.0,-,-,4.0,-,-,2.0,-,-,0.0,Summer,2023,1
BAIS:3005:0EXW,Information Systems,Kristy Walker - Primary Instructor,,-,23.0,-,-,11.0,-,-,4.0,-,-,1.0,-,-,0.0,Summer,2023,1
BAIS:6040:0EXP,Data Programming in Python,Adam Meeker - Primary Instructor,,-,35.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:6050:0EXP,Data Management and Visual Analytics,Murugan Nambiar - Primary Instructor,,-,28.0,-,-,8.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:6050:0EXT,Data Management and Visual Analytics,Kristina Bigsby - Primary Instructor,,-,16.0,-,-,6.0,-,-,0.0,-,-,1.0,-,-,0.0,Summer,2023,1
BAIS:6070:0EXP,Data Science,Zachary Veigulis - Primary Instructor,,-,32.0,-,-,7.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:6070:0EXT,Data Science,Bou Gazley - Primary Instructor,,-,13.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:6105:0EXP,Social Analytics,Patrick Fan - Primary Instructor,,-,15.0,-,-,9.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:6120:0EXP,Analytics Experience,Jarren Santos - Primary Instructor,,-,21.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:6210:0EXP,Data Leadership and Management,Kristy Walker - Primary Instructor,,-,14.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:9110:0EXP,Advanced Analytics,Justin Goodson - Primary Instructor,,-,30.0,-,-,8.0,-,-,0.0,-,-,1.0,-,-,0.0,Summer,2023,1
BAIS:9220:0EX8,Introduction to Information Systems,Pierre-Majorique Leger - Primary Instructor,Cristina Turchet - Course Supervisor,-,6.0,-,-,5.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BAIS:9300:0900,Innovations in Technology,Jim Chaffee - Primary Instructor,,-,23.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BIOL:1412:0A01,Diversity of Form and Function,Mark Holbrook - Primary Instructor,,-,1.0,-,-,5.0,-,-,4.0,-,-,1.0,-,-,1.0,Summer,2023,1
BIOL:2512:0EXW,Fundamental Genetics,Angela Cordle - Primary Instructor,,-,39.0,-,-,20.0,-,-,4.0,-,-,1.0,-,-,1.0,Summer,2023,1
BIOS:4110:0001,General Biostatistics,Gideon Zamba - Primary Instructor,,-,16.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,0.0,Summer,2023,1
BIOS:4120:0EXW,Introduction to Biostatistics,Scott Cleven - Primary Instructor,Jacob Oleson - Course Supervisor,-,29.0,-,-,8.0,-,-,3.0,-,-,2.0,-,-,1.0,Summer,2023,1
BMB:3110:0EXW,Biochemistry,William Hacker - Primary Instructor,,-,15.0,-,-,48.0,-,-,22.0,-,-,15.0,-,-,8.0,Summer,2023,1
BUS:3000:0EXV,Business Communication and Protocol,Stephanie Batterson - Primary Instructor,,-,7.0,-,-,8.0,-,-,0.0,-,-,0.0,-,-,1.0,Summer,2023,1
BUS:3000:0EXW,Business Communication and Protocol,Tobias Veeder - Primary Instructor,,-,5.0,-,-,10.0,-,-,2.0,-,-,2.0,-,-,0.0,Summer,2023,1
